 211	 141	 63	
 28	 133	 69	
 64	 123	 23	
 105	 141	 70	
 166	 166	 52	
 183	 143	 19	
 217	 136	 32	
 237	 115	 49	
 77	 176	 72	
 236	 107	 75	
 57	 131	 24	
 93	 59	 77	
 98	 155	 72	
 104	 79	 46	
 96	 76	 65	
 178	 116	 24	
 169	 168	 41	
 81	 62	 72	
 85	 169	 61	
 50	 178	 72	
 215	 95	 54	
 186	 133	 13	
 213	 185	 64	
 45	 178	 70	
 79	 148	 56	
 115	 140	 60	
 208	 66	 60	
 219	 129	 39	
 213	 79	 55	
 68	 157	 25	
 77	 148	 56	
 112	 128	 12	
 191	 176	 32	
 113	 125	 14	
 182	 136	 19	
 46	 147	 64	
 221	 165	 56	
 76	 168	 34	
 201	 168	 72	
 173	 133	 13	
 102	 65	 43	
 87	 67	 39	
 37	 124	 61	
 42	 121	 63	
 103	 88	 27	
 61	 164	 44	
 193	 167	 43	
 34	 137	 54	
 90	 88	 59	
 104	 155	 59	
 217	 159	 32	
 65	 126	 56	
 195	 116	 25	
 172	 105	 22	
 53	 84	 46	
 78	 59	 75	
 203	 174	 36	
 209	 110	 51	
 178	 101	 29	
 84	 71	 61	
 91	 80	 32	
 224	 120	 46	
 74	 178	 56	
 175	 165	 68	
 187	 186	 48	
 116	 124	 24	
 206	 156	 23	
 66	 134	 31	
 217	 139	 65	
 66	 105	 31	
 236	 115	 63	
 57	 114	 31	
 182	 180	 71	
 64	 159	 36	
 175	 160	 26	
 198	 105	 31	
 68	 100	 53	
 170	 168	 43	
 46	 134	 36	
 28	 139	 65	
 214	 117	 49	
 202	 186	 69	
 104	 146	 32	
 98	 135	 60	
 48	 137	 60	
 48	 166	 38	
 111	 70	 51	
 177	 126	 19	
 174	 125	 16	
 97	 158	 48	
 177	 152	 61	
 198	 129	 22	
 180	 166	 49	
 56	 115	 44	
 159	 129	 12	
 208	 151	 35	
 101	 128	 25	
 37	 137	 62	
 192	 144	 34	
 49	 106	 48	
 176	 139	 24	
 95	 65	 53	
 46	 130	 31	
 183	 180	 53	
 168	 167	 56	
 235	 101	 60	
 190	 84	 43	
 79	 144	 18	
 71	 144	 29	
 70	 157	 24	
 110	 145	 64	
 211	 115	 48	
 80	 56	 82	
 73	 124	 18	
 40	 158	 42	
 179	 158	 20	
 99	 157	 73	
 74	 129	 20	
 96	 128	 62	
 209	 160	 64	
 224	 143	 67	
 197	 130	 19	
 195	 177	 40	
 53	 144	 31	
 92	 169	 62	
 225	 104	 42	
 70	 62	 72	
 192	 114	 26	
 208	 151	 31	
 195	 148	 23	
 86	 105	 24	
 108	 68	 69	
 89	 71	 52	
 180	 127	 23	
 46	 172	 65	
 212	 77	 53	
 86	 135	 36	
 205	 97	 47	
 187	 166	 40	
 208	 137	 29	
 67	 149	 22	
 179	 134	 26	
 64	 96	 41	
 103	 112	 16	
 104	 140	 69	
 216	 176	 72	
 111	 65	 46	
 219	 122	 36	
 93	 63	 71	
 201	 169	 37	
 63	 149	 21	
 235	 124	 61	
 74	 124	 39	
 55	 145	 30	
 176	 76	 40	
 177	 127	 19	
 178	 155	 22	
 109	 139	 72	
 169	 149	 73	
 206	 113	 50	
 156	 134	 17	
 210	 159	 29	
 95	 101	 36	
 226	 81	 66	
 95	 126	 9	
 168	 145	 14	
 175	 98	 25	
 92	 99	 55	
 85	 63	 60	
 74	 171	 54	
 227	 133	 43	
 99	 132	 33	
 233	 135	 59	
 100	 103	 27	
 197	 157	 55	
 182	 85	 37	
 198	 73	 54	
 183	 143	 18	
 104	 138	 61	
 57	 149	 44	
 228	 135	 42	
 181	 164	 43	
 189	 102	 34	
 201	 77	 46	
 188	 178	 46	
 175	 154	 64	
 99	 149	 54	
 71	 165	 38	
 210	 172	 63	
 43	 101	 48	
 92	 158	 71	
 102	 143	 67	
 198	 129	 48	
 201	 174	 50	
 66	 144	 27	
 185	 143	 33	
 97	 151	 43	
 97	 110	 30	
 181	 175	 64	
 185	 97	 27	
 217	 122	 28	
 100	 141	 26	
 86	 93	 30	
 204	 190	 70	
 179	 173	 42	
 188	 137	 25	
 40	 150	 68	
 159	 155	 76	
 90	 151	 31	
 67	 102	 40	
 197	 69	 52	
 82	 102	 32	
 52	 144	 51	
 64	 144	 58	
 187	 149	 28	
 178	 157	 21	
 60	 132	 34	
 212	 166	 41	
 64	 152	 18	
 110	 121	 17	
 173	 150	 71	
 114	 137	 59	
 61	 114	 45	
 72	 100	 51	
 179	 143	 29	
 46	 98	 43	
 74	 179	 73	
 104	 71	 47	
 56	 130	 30	
 201	 76	 53	
 198	 114	 39	
 197	 126	 37	
 90	 175	 77	
 102	 111	 15	
 112	 143	 68	
 86	 75	 64	
 204	 146	 19	
 198	 89	 35	
 90	 136	 23	
 239	 124	 58	
 198	 128	 20	
 233	 139	 54	
 91	 101	 45	
 182	 168	 61	
 32	 128	 58	
 58	 174	 68	
 205	 169	 35	
 180	 118	 27	
 84	 135	 12	
 70	 116	 46	
 204	 108	 45	
 83	 177	 52	
 225	 107	 53	
 81	 144	 66	
 36	 134	 63	
 48	 173	 50	
 196	 158	 25	
 226	 143	 68	
 76	 118	 45	
 194	 148	 24	
 245	 129	 76	
 54	 80	 59	
 212	 85	 44	
 101	 149	 56	
 186	 144	 15	
 193	 148	 17	
 209	 133	 57	
 195	 116	 24	
 225	 167	 55	
 78	 150	 46	
 99	 160	 74	
 214	 134	 43	
 217	 131	 42	
 177	 137	 22	
 97	 127	 26	
 202	 89	 39	
 55	 158	 63	
 184	 152	 16	
 45	 142	 46	
 44	 119	 41	
 207	 123	 54	
 218	 107	 54	
 75	 170	 33	
 83	 56	 80	
 187	 160	 24	
 180	 173	 38	
 171	 168	 36	
 173	 177	 72	
 228	 116	 70	
 192	 140	 16	
 170	 174	 58	
 167	 163	 31	
 230	 138	 41	
 180	 166	 48	
 93	 64	 74	
 161	 155	 77	
 191	 82	 34	
 50	 124	 57	
 74	 173	 54	
 190	 72	 48	
